CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-21-07,SX,Morice,1975,225,1.00,225,1.15,258,2.00,517,421,0.441,938,438,0.459,955,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1976,100,1.00,100,1.15,115,2.00,230,346,0.570,576,378,0.622,608,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1977,600,1.00,600,1.15,689,2.00,1378,2072,0.558,3450,2335,0.629,3714,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1978,500,1.00,500,1.15,574,2.00,1148,1874,0.564,3023,2172,0.654,3320,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1979,700,1.00,700,1.15,804,2.00,1608,2260,0.547,3868,2521,0.611,4129,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1980,400,1.00,400,1.15,459,2.00,919,1195,0.462,2114,1668,0.645,2587,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1981,1000,1.00,1000,1.15,1148,2.00,2297,3454,0.566,5751,3810,0.624,6107,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1982,3000,1.00,3000,1.15,3445,2.00,6891,12266,0.607,19156,13329,0.659,20220,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1983,4000,1.00,4000,1.15,4594,2.00,9188,10935,0.489,20123,13166,0.589,22354,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1984,3000,1.00,3000,1.15,3445,2.00,6891,9861,0.560,16752,10719,0.609,17610,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1985,2000,1.00,2000,1.15,2297,2.00,4594,5883,0.536,10477,6381,0.581,10975,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1986,3000,1.00,3000,1.15,3445,2.00,6891,8862,0.514,15753,10339,0.600,17229,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1987,4000,1.00,4000,1.15,4594,2.00,9188,7232,0.428,16419,7689,0.456,16877,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1988,1000,1.00,1000,1.15,1148,2.00,2297,4180,0.598,6477,4690,0.671,6987,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1989,5600,1.00,5600,1.15,6432,2.00,12863,11168,0.426,24031,13341,0.509,26204,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1990,6000,1.00,6000,1.15,6891,1.00,6891,9565,0.525,16456,11339,0.622,18230,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1991,40000,1.00,40000,1.15,45939,1.00,45939,58323,0.519,104262,66376,0.591,112315,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
