FISHERY,YEAR,SPECIES,HARVEST
Northern Purse Seine Traditional,1982,CHUM,162007
Northern Purse Seine Traditional,1982,TOTAL,11060114
Northern Purse Seine Hatchery Terminal,1982,CHINOOK,0
Northern Purse Seine Hatchery Terminal,1982,JACKS,0
Northern Purse Seine Hatchery Terminal,1982,SOCKEYE,0
Northern Purse Seine Hatchery Terminal,1982,COHO,0
Northern Purse Seine Hatchery Terminal,1982,PINK,0
Northern Purse Seine Hatchery Terminal,1982,CHUM,0
Northern Purse Seine Hatchery Terminal,1982,TOTAL,0
Total Drift Gillnet,1982,CHINOOK,14710
Total Drift Gillnet,1982,JACKS,0
Total Drift Gillnet,1982,SOCKEYE,749348
Total Drift Gillnet,1982,COHO,194424
Total Drift Gillnet,1982,PINK,569351
Total Drift Gillnet,1982,CHUM,448332
Total Drift Gillnet,1982,TOTAL,1976165
Tree Point,1982,CHINOOK,3522
Tree Point,1982,JACKS,0
Tree Point,1982,SOCKEYE,190840
Tree Point,1982,COHO,27833
Tree Point,1982,PINK,348769
Tree Point,1982,CHUM,84537
Tree Point,1982,TOTAL,655501
Prince of Wales,1982,CHINOOK,1648
Prince of Wales,1982,JACKS,0
Prince of Wales,1982,SOCKEYE,193801
Prince of Wales,1982,COHO,31584
Prince of Wales,1982,PINK,25533
Prince of Wales,1982,CHUM,18646
Prince of Wales,1982,TOTAL,271212
Stikine,1982,CHINOOK,1052
Stikine,1982,JACKS,0
Stikine,1982,SOCKEYE,7136
Stikine,1982,COHO,20003
Stikine,1982,PINK,16174
Stikine,1982,CHUM,734
Stikine,1982,TOTAL,45099
Taku-Snettisham,1982,CHINOOK,3014
Taku-Snettisham,1982,JACKS,0
Taku-Snettisham,1982,SOCKEYE,83722
Taku-Snettisham,1982,COHO,29073
Taku-Snettisham,1982,PINK,109270
Taku-Snettisham,1982,CHUM,37584
Taku-Snettisham,1982,TOTAL,262663
Lynn Canal,1982,CHINOOK,5451
Lynn Canal,1982,JACKS,0
Lynn Canal,1982,SOCKEYE,273833
Lynn Canal,1982,COHO,72297
Lynn Canal,1982,PINK,69051
Lynn Canal,1982,CHUM,306571
Lynn Canal,1982,TOTAL,727203
Drift Gillnet Hatchery Terminal,1982,CHINOOK,23
